Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
170	Khakas SU (Pugin, Konyaev, Sakerin)	-1	-6	.	.	.	.	.	.	.	.	.	0	0
170	Siberian SAU (Kazmiruk, Baranov, Bolgov)	-9	.	.	.	-8	.	.	.	.	.	.	0	0
170	Issyk-Kul State U (Reshetnikov, Turkin, Kapustin)	-2	.	.	.	-2	.	.	.	.	.	.	0	0
170	Chita SU (Abramov, Bronyuk, Palkin)	-3	-5	.	.	-3	.	.	.	.	.	.	0	0
170	Tomsk SU of CSR 2 (Mukhamadeev, Gushin, Matveev)	.	.	.	-5	.	.	.	.	.	.	.	0	0
170	Baku MSU 2 (Bagirov, Sokolov, Mamedzade)	.	.	.	.	-4	.	.	.	.	.	.	0	0
170	Tbilisi SU Geo-French 1 (Apkhaidze, Jojua, Kasradze)	.	.	.	.	-5	.	.	.	.	.	.	0	0
170	American U of Armenia 1 (Karo, Pilosyan, Zomorodian)	.	-5	.	.	-1	.	.	.	.	.	.	0	0
170	Tbilisi SU Geo-French 2 (Meishvili, Loria, Gogatishvili)	.	-2	.	.	.	.	.	.	.	.	.	0	0
170	Yerevan SUAC 1 (Tadevosyan, Uzunyan, Sargsyan)	.	.	.	.	-5	.	.	.	.	.	.	0	0
170	Baku Qafqaz U 1 (Javadov, Novruzov, Babayev)	-10	.	.	.	.	.	.	.	.	.	.	0	0
170	Tbilisi IBSU 2 (Gandilyan, Zarkua, Chelishvili)	.	.	.	.	-1	.	.	.	.	.	.	0	0
170	Baku SU 1 (Aghayeva, Najafov, Yusubov)	.	.	.	.	-7	.	.	.	.	.	-2	0	0
170	Baku Qafqaz U 4 (Abdullayev, Quliyev, Soltanzade)	.	.	.	.	.	.	.	.	-2	.	.	0	0
170	American U of Armenia 2 (Voskanyan, Darbinyan, Khasikyan)	-2	.	.	.	-8	.	.	.	.	.	.	0	0
170	Tbilisi SU Geo-French 3 (Odisharia, Bendeliani, Miqaberidze)	.	.	.	.	.	.	.	.	.	.	.	0	0
170	Russian-Armenian SU 3 (Gevorgyan, Gevorgyan, Martirosyan)	-9	.	.	.	.	.	.	.	.	.	.	0	0
170	Gyumri SPI (Hovhannisyan, Pahlevanyan, Ghazaryan)	-6	.	.	.	.	.	.	.	.	.	.	0	0
170	Tbilisi SANGU 3 (Atabegashvili, Chkheidze, Gverdtsiteli)	.	.	.	.	.	.	.	.	.	.	.	0	0
170	Yerevan SUAC 2 (Hovhannisyan, Khangaldyan, Tokmajyan)	-2	.	.	.	-1	-5	.	.	.	.	.	0	0
170	Georgian TU (Osipovi, Dzneladze, Koriani)	.	.	.	.	.	.	.	.	.	.	.	0	0
170	West Kazakhstan SU (Shagirov, Abamov, Sergeev)	.	.	.	.	-4	.	.	.	.	.	.	0	0
170	Kazakh NU 2 (Abdykulov, Kovalev, Berdibekov)	.	.	.	.	-9	.	.	.	.	.	.	0	0
170	Tashkent U of IT 1 (Kovalenko, Bondarenko, Putcev)	-10	.	.	.	.	.	.	.	.	.	.	0	0
170	Gulistan SU (Nurtayev, Yuldashev, Xudoyberdiyev)	.	.	.	.	.	.	.	.	.	.	.	0	0
170	Bukhara SU (Babayev, Davronov, Mustafoyev)	-8	.	.	.	-11	.	.	.	.	.	.	0	0
170	Tashkent STU (Umarov, Magzumov, Pirnapasov)	.	.	.	.	.	.	.	.	.	.	.	0	0
170	Tashkent U of IT Urgench 1 (Otajanov, Sadullayev, Yusupova)	.	.	.	.	.	.	-2	.	-6	.	.	0	0
170	Tashkent SU of Economics (Skaldin, Jebrak, Maslikov)	-1	.	.	.	.	.	.	.	.	.	.	0	0
170	Tashkent U of World Econ and Dipl (Abdiyev, Bosimov, Xurramov)	.	.	.	.	.	.	.	.	.	.	.	0	0
170	South Kazakhstan SU (Khasanova, Iskakov, Kharakhordina)	-5	.	.	.	.	.	.	.	.	.	.	0	0
	Total runs	396	68	10	344	547	152	228	49	508	75	93
	Accepted	169	14	2	69	65	61	52	21	73	3	41
	Rejected	227	54	8	275	482	91	176	28	435	72	52
	First Accept	11:07	171:52	259:38	38:20	20:35	29:07	49:10	151:22	23:09	155:52	47:44
	Last Accept	293:58	296:44	273:45	298:28	289:34	291:36	296:09	298:25	297:02	293:59	298:50
