Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
161	Almaty SDU 2 (Maksotov, Tulegenov, Yersultan)	+ (31:57)	.	-7	.	.	.	-4	.	.	.	.	.	1	31
162	Russian-Armenian U 3 (Arakelyan, Gevorgyan, Yeghiazaryan)	+ (32:16)	.	.	.	.	.	-8	.	.	.	.	.	1	32
163	Eurasian NU 2 (Amanbaev, Kabdysalyam, Mukhametkali)	+ (33:05)	.	.	.	.	.	-1	.	.	.	.	.	1	33
164	Altai SU (Anisimov, Bruleva, Dorofeeva)	+ (36:52)	.	.	.	.	.	-4	.	.	.	.	.	1	36
165	ISIT Siberian FU 2 (Ermak, Kaygorodova, Obedin)	+ (37:49)	.	-1	.	.	.	-2	.	.	.	.	.	1	37
166	Tashkent br of Turin PU 1 (Fakhritdinov, Ismoilov, Nuriddinov)	+ (38:32)	.	.	.	.	.	.	-10	-2	-1	.	.	1	38
167	East Siberian SA Edu (Cvetkov, Dudkin, Janushkovskij)	+ (42:07)	.	-3	.	.	.	.	-3	.	.	.	.	1	42
168	Khakas SU (Maksimov, Maksimov, Manzhugin)	+ (46:09)	.	.	.	.	.	-2	-1	.	.	.	.	1	46
169	Nazarbaev U 1 (Akzholov, Islam, Sagyndykov)	+1 (27:58)	.	.	.	.	.	-3	-1	.	.	.	.	1	47
169	Almaty SDU 4 (Abilda, Madeniyat, Naurzaliyev)	+ (47:00)	.	.	.	.	.	-2	-1	.	.	.	.	1	47
169	Tbilisi FreeUni 2 (Kikolashvili, Lapiashvili, Vakhtangishvili)	+ (47:02)	.	.	.	.	.	-6	.	.	.	.	.	1	47
169	Kutaisi ATSU 2 (Koguashvili, Nucubidze, Tetvadze)	+ (47:38)	.	.	.	.	.	-7	-5	.	.	.	.	1	47
173	Baku MSU 1 (Veliyev, Peysaxov, Proskuryakov)	+1 (33:36)	.	.	.	.	.	-21	.	.	.	.	.	1	53
174	Tbilisi SU 11 (Chikvinidze, Latsoshvili, Lortkipanidze)	+ (54:00)	.	.	.	.	.	-6	.	.	.	.	.	1	54
175	Tbilisi SU Geo-Franch 1 (Bendeliani, Gogatishvili, Vibliani)	+ (59:18)	.	.	.	.	.	-1	-5	.	.	.	.	1	59
176	Georgian TU 2 (Darchiashvili, Mikeladze, Mindiashvili)	+ (61:21)	.	.	.	.	.	.	-3	.	.	.	.	1	61
177	Yerevan SU of AC 1 (Ghazaryan, Sargsyan, Tadevosyan)	+ (63:25)	.	.	.	.	.	-6	.	.	.	.	.	1	63
178	Urgench br of TUIT 2 (Jumaniyozov, Sultonov, Yusupova)	+ (64:15)	.	.	.	.	.	.	.	.	.	.	.	1	64
178	Ugra SU (Kuramshin, Markov, Semikin)	+ (64:40)	.	-7	.	.	.	-5	.	.	.	.	.	1	64
180	Novgorod SU (Kanaryov, Kononov, Rogina)	+1 (50:50)	.	.	.	-5	.	.	.	.	.	.	.	1	70
181	American U of Armenia 3 (Aleksanyan, Hayrapetyan, Saponjyan)	+ (72:28)	.	.	.	.	.	-2	-2	.	.	.	.	1	72
182	Altai STU 4 (Babin, Krayushkin, Myagkov)	+1 (53:49)	.	.	.	.	.	-11	.	.	.	.	.	1	73
183	Baku Qafqaz U 3 (Agayev, Asgarli, Ahmadov)	+1 (55:55)	.	.	.	.	.	-2	.	.	.	.	.	1	75
184	Kostanay SU (Lim, Shimanskiy, Zhuravlevich)	+ (77:49)	.	.	.	-2	.	-9	-1	.	-1	.	.	1	77
185	Rubtsovsk II (Chaplygin, Kozhevnikov, Toropov)	+1 (61:04)	.	.	.	.	.	.	-2	.	.	.	.	1	81
186	Magnitogorsk STU (Bezborodov, Podosokorskiy, Skidan)	+2 (43:34)	.	.	.	-1	.	.	.	.	.	.	.	1	83
186	Tbilisi Caucasus U 2 (Aivazashvili, Tchitadze, Zakalashvili)	+ (83:52)	.	.	.	.	.	-2	.	.	.	.	.	1	83
188	East Kazahstan STU (Kurochkin, Sakitov, Skripnikova)	+2 (53:06)	.	.	.	.	.	.	.	.	.	.	.	1	93
189	Kazakh NU 2 (Alipbek, Kasym, Kulzhabai)	+ (99:51)	.	.	.	.	.	-3	-1	.	.	.	.	1	99
190	Tbilisi IBSU 3 (Dedabrishvili, Jugheli, Kupatadze	+1 (80:25)	.	-2	.	.	.	.	-4	.	.	.	.	1	100
190	Urgench br of TUIT 3 (Egamberdiyev, Hasanov, Kutliboyev)	+ (100:28)	.	.	.	.	.	-3	.	.	.	.	.	1	100
192	Tashkent U of IT 3 (Abdulali, Umriyaev, Yakshimbetova)	+2 (67:44)	.	.	.	.	.	-4	.	.	.	.	.	1	107
193	Gyumri SPI 1 (Demirtshyan, Hovhannisyan, Pahlevanyan)	+2 (81:54)	.	.	.	.	.	.	.	.	.	.	.	1	121
194	Batumi SU 2 (Gorgodze, Meskhidze, Pasieshvili)	+ (123:15)	.	.	.	.	.	.	-2	.	.	.	.	1	123
195	Novosibirsk SPedU (Kornilov, Panin, Pleshkov)	+3 (65:22)	.	.	.	.	.	-6	.	.	.	.	.	1	125
195	Tashkent U of IT 2 (Barotov, Muminov, Shakirov)	+1 (105:31)	.	.	.	.	.	-2	.	.	.	.	.	1	125
197	Kemerovo SU (Popov, Ryzhkov, Zyablitskiy)	+ (127:44)	.	.	.	.	.	-3	.	.	.	.	-6	1	127
198	Tbilisi Caucasus U 1 (Gagoshidze, Gogoladze, Pirtskhalava)	+1 (112:57)	.	.	.	.	.	-2	.	.	.	.	.	1	132
199	Tbilisi IBSU 2 (Grigolia, Sekhniashvili, Tsintskiladze)	+2 (99:27)	.	.	.	.	.	-1	-3	.	.	.	.	1	139
199	American U Central Asia (Orlov, Pai, Zholdoshbekov)	+ (139:43)	.	.	.	-1	.	-10	-8	.	.	.	.	1	139
201	Tbilisi SANGU 1 (Barnabishvili, Ghutishvili, Pipia)	+3 (91:13)	.	.	.	.	.	-5	.	.	.	.	.	1	151
202	American U of Armenia 2 (Babakhanyan, Harutyunyan, Khanoyan)	+2 (121:13)	.	.	.	.	.	-6	-1	.	.	.	.	1	161
203	Baku Qafqaz U 4 (Agayev, Abbasov, Hajiev)	+3 (108:07)	.	.	.	.	.	-2	.	.	.	.	.	1	168
204	Urgench SU (Abdurasulov, Karimova, Mattiyev)	+ (169:11)	.	.	.	.	.	-2	.	.	.	.	.	1	169
205	Tashkent U of IT 4 (Abdurahmanov, Bobylev, Borisov)	+ (172:29)	.	.	.	.	.	-1	-5	.	.	.	.	1	172
206	Baku MSU 3 (Isayeva, Baxri, Aghayev)	+ (179:11)	.	.	.	.	.	-2	-2	.	.	.	.	1	179
207	Irkutsk SU (Apanovich, Korolev, Skuratov)	+1 (163:11)	.	.	.	.	.	.	.	.	.	.	.	1	183
208	Georgian TU 3 (Dadiani, Khutsihvili, Sirbiladze)	+ (185:09)	.	.	.	.	.	-1	-1	.	-3	.	.	1	185
209	Tbilisi SANGU 2 (Abulashvili, Gelenava, Jishkariani)	+ (206:06)	.	.	.	.	.	-3	.	.	.	.	.	1	206
210	Eurasian NU 1 (Amandosov, Bayan, Sabirgaliyev)	+1 (187:55)	.	.	.	.	.	-5	-7	.	.	.	.	1	207
211	American U of Armenia 5 (Avoyan, Gularyan, Vardanyan)	+3 (174:48)	.	.	.	.	.	-8	-4	.	.	.	.	1	234
212	Karaganda Industrial SU (Kayupov, Koblov, Petkov)	+1 (290:55)	.	-2	.	.	.	.	.	.	.	.	.	1	310
213	Samarkand SU 2 (Alladustov, Rizayev, Turobov)	+2 (281:41)	.	.	.	.	.	.	.	.	.	.	.	1	321
214	Baku MSU 5 (Azayev, Yahyayev, Fataliyeva)	.	.	.	.	.	.	+4 (251:42)	.	.	.	.	.	1	331
215	Karaganda EU (Golubeva, Ler, Ushakov)	.	.	.	.	-9	.	.	.	.	.	.	.	0	0
215	Siberian S Transport U (Ermakova, Petrov, Saharov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
215	Osh STU (Bakirov, Moiseev, Uraiymov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
215	Kyrgyz STU (Esenbek, Halikov, Kasymov)	-2	.	.	.	-3	.	-6	.	.	.	.	.	0	0
215	Gyumri Campus SEUA (Grigoryan, Nikoghosyan, Tigranyan)	-10	.	.	.	.	.	-5	.	.	.	.	.	0	0
215	Tbilisi SU Geo-Franch 2 (Iashvili, Khutsishvili, Nachkebia)	-2	.	.	.	.	-1	-3	.	.	.	.	.	0	0
215	Sokhumi SU 1 (Nasuashvili, Tabatadze, Terterashvili)	.	.	.	.	.	.	.	-3	.	.	.	.	0	0
215	Batumi SU 1 (Didmanidze, Imnaishvili, Sirabidze)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
215	Batumi SU 3 (Beridze, Beridze, Jincharadze)	.	.	.	.	.	.	-1	.	.	.	.	.	0	0
215	Baku NAA 3 (Barzigyar, Qurbanli, Mammadrzayev)	.	.	.	.	.	.	.	-3	.	.	.	.	0	0
215	Yerevan SU of AC 2 (Gevorkyan, Tarverdyan, Tonoyan)	-4	.	.	.	.	.	.	.	.	.	.	.	0	0
215	Kutaisi ATSU 4 (Oniani, Saldadze, Tevdoradze)	.	.	.	.	.	.	-3	-3	.	.	.	.	0	0
215	Samarkand SU 1 (Akramov, Sagdullayev, Yusupov)	.	.	.	.	.	.	-4	.	.	.	.	.	0	0
215	West Kazakhstan Agr TU (Kuspangaliev, Shimbolatov, Zhumaev)	.	.	.	.	.	.	.	.	-3	.	.	.	0	0
215	Taraz SU (Kuntubaev, Sharifulin, Shevtsov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
	Total runs	312	490	404	15	379	43	590	424	49	75	16	37
	Accepted	213	29	41	3	78	20	158	75	4	20	0	11
	Rejected	99	461	363	12	301	23	432	349	45	55	16	26
	First Accept	9:21	76:58	42:11	238:02	30:36	85:51	9:04	19:13	183:46	78:00		146:06
	Last Accept	290:55	298:42	296:49	299:57	294:05	294:48	292:34	292:26	299:36	284:06		299:09
