Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
171	Tbilisi SANGU 2 (Kamaryan, Terterashvili, Jishkariani)	.	-3	.	.	.	+ (19:38)	.	-1	.	.	.	1	19
171	SPb SU of Telecom 2 (Veselov, Sholokhov, Orlov)	.	.	.	.	.	+ (19:41)	.	-6	.	-7	.	1	19
171	Kyrgyz Russian Slavic U 1 (Akparaliev, Samartsev, Pechjorov)	.	.	.	.	.	+ (19:42)	.	.	.	-7	.	1	19
175	Kazakh NU 4 (Abiltaev, Masyrov, Saiym)	.	.	.	.	.	+ (20:14)	.	.	.	-10	.	1	20
175	Altai SU (Anisimov, Dorofeeva, Samoylov)	.	.	.	.	.	+ (20:35)	.	-1	.	.	.	1	20
175	Karaganda STU (Gekkel, Kotov, Zalutsky)	.	.	.	.	.	+ (20:37)	.	-3	.	-7	.	1	20
175	Altai STU 2 (Krayushkin, Myagkov, Babin)	.	.	.	.	.	+ (20:55)	.	.	.	-10	.	1	20
179	Tbilisi SANGU 3 (Kiviladze, Vardosanidze, Khvedeliani)	.	.	.	.	.	+ (22:04)	.	-4	.	.	.	1	22
179	Baku br of MSU 1 (Veliyev, Proskuryakov, Mammadzada)	.	.	.	.	.	+ (22:10)	.	-10	.	-7	.	1	22
179	Russian-Armenian U 3 (Gevorgyan, Ioanisyan, Yeghiazaryan)	.	.	.	.	.	+ (22:16)	.	.	.	-10	.	1	22
179	Tbilisi SANGU 1 (Ghutishvili, Barnabishvili, Abulashvili)	.	.	.	.	.	+ (22:37)	.	.	-1	-1	.	1	22
183	Tashkent Chem TI (Alimova, Azamatov, Shomansurov)	.	.	.	.	.	+ (24:47)	.	.	.	-7	.	1	24
184	Kazakh NU 2 (Dadykina, Salieva, Usan)	.	.	.	.	.	+ (25:17)	.	.	.	-3	.	1	25
184	Kemerovo SU (Ziablitskiy, Ryzhkov, Popov)	.	.	.	.	.	+ (25:38)	.	-1	.	-1	.	1	25
186	American U of Armenia 1 (Gevorgyan, Stepanyan, Kosyan)	.	.	.	.	.	+ (26:26)	.	.	.	-9	.	1	26
187	Georgian TU 2 (Mikiashvili, Varamashvili, Sirbiladze)	.	.	.	.	.	+ (27:45)	.	.	.	.	.	1	27
188	Irkutsk STU (Turchaninov, Zhurov, Pyatyh)	.	.	.	.	.	+ (28:53)	.	-2	.	-6	.	1	28
189	Kazakh-British TU 4 (Kairbekov, Khametov, Nurmash)	.	.	.	.	.	+1 (13:04)	.	.	-4	-20	.	1	33
189	Georgian TU 3 (Khutsihvili, Mindiashvili, Zedelashvili)	.	.	.	.	.	+ (33:41)	.	.	.	.	.	1	33
191	Azerbaijan TU 1 (Abdullayev, Eyyubova)	.	.	.	.	.	+ (34:56)	.	-2	.	.	.	1	34
192	Urgench SU (Azamatov, Habibullayev, Yuldashev)	.	.	.	.	.	+ (35:25)	.	-2	.	-4	.	1	35
193	Tbilisi SU 4 (Tsulaia, Nebulishvili, Rukhaia)	.	.	.	.	.	+ (36:24)	.	-2	.	.	.	1	36
194	Tbilisi IBSU 1 (Tsintskiladze, Sekhniashvili, Grigolia)	.	.	.	.	.	+ (37:36)	.	.	.	-10	-1	1	37
195	Tbilisi IBSU 4 (Prangishvili, Avanashvili, Amashukeli)	.	.	.	.	.	+ (38:53)	.	.	.	.	.	1	38
196	Tbilisi IBSU 3 (Zazarashvili, Mamaiashvili, Morchiladze)	.	.	.	.	.	+ (40:20)	.	.	.	.	.	1	40
197	Caucasus University 1 (Nodia, Gagoshidze, Pirtskhalava)	.	.	.	.	.	+ (41:21)	.	.	.	-5	.	1	41
198	East-Siberian SA of E (Yanushkovskiy, Cvetkov, Dudkin)	.	-2	.	.	.	+1 (25:07)	.	.	.	-11	.	1	45
198	ISIT of SFU 1 (Arshinskiy, Zangiev, Rechitskiy)	.	-5	.	.	.	+1 (25:31)	.	.	.	-12	.	1	45
198	Tbilisi GAU (Besashvili, Chinchaladze, Gurgenishvili)	.	.	.	.	.	+ (45:19)	.	.	.	-3	.	1	45
201	Omsk STU 2 (Bailo, Chumljakov, Kiceljuk)	.	-1	.	.	.	+1 (28:14)	.	-1	.	.	.	1	48
202	Eurasian NU 2 (Amanbayev, Kabdysalyam, Mukhametkali)	.	.	.	.	.	+1 (29:34)	.	.	.	-6	.	1	49
203	MSU Tashkent 3 (Bogomolov, Don, Usmonov)	.	.	.	.	.	+1 (30:17)	.	.	.	-5	.	1	50
204	NU of Uzbekistan 2 (Jasurbek, Qulboyev, Shopo'latov)	.	.	.	.	.	+ (52:07)	.	.	.	-6	.	1	52
205	Samarkand br of TUIT (Babayan, Ramatov, Shexroz)	.	.	.	.	.	+1 (37:08)	.	-1	.	.	.	1	57
206	Tbilisi IBSU 2 (Mikadze, Kartsidze, Gurgenidze)	.	.	.	.	.	+1 (38:36)	.	-8	.	.	.	1	58
207	American U of Armenia 2 (Kirakosyan, Khasikyan, Rostomyan)	.	.	.	.	.	+ (60:23)	.	.	.	.	.	1	60
208	Taraz SU (Kuntubaev, Sharifulin, Shevtsov)	.	.	.	.	.	+ (62:04)	.	.	.	.	-3	1	62
208	Baku br of MSU 2 (Baxri, Aghayev, Pashayev)	.	-3	.	.	.	+ (62:13)	.	-1	.	.	.	1	62
210	Georgian TU 1 (Mikeladze, Darchiashvili, Darchiashvili)	.	-1	.	.	.	+2 (27:40)	.	.	.	-3	.	1	67
211	Russian-Armenian U 5 (Mkrtchyan, Terunyan, Igityan)	.	-2	.	.	.	+2 (32:38)	.	.	.	-8	.	1	72
212	Caucasus University 4 (Botsvadze, Gogolashvili, Kankava)	.	.	.	.	.	+1 (55:14)	.	.	.	.	.	1	75
212	SPb SPU (Serov, Kapralov, Egorov)	.	.	.	.	.	+ (75:36)	.	-1	.	.	.	1	75
214	Sokhumi SU (Tabatadze, Voskanyan, Papashvili)	.	.	.	.	.	+ (87:12)	.	.	.	.	.	1	87
215	Altai STU 4 (Nekrasov, Laptev, Dyadushenko)	.	-5	.	.	.	+1 (70:35)	.	-5	.	.	.	1	90
216	Eurasian NU 1 (Aiymbay, Amandosov, Tussenov)	.	-4	.	.	.	+2 (52:01)	.	.	.	.	.	1	92
217	Kyrgyz SU of Building (Esenbek, Mazurov, Mazhitov)	.	-1	.	.	.	+ (95:03)	.	.	.	-2	.	1	95
218	Tashkent U of IT CIT (Javlonbek, Kuryazov, Yaxshiboyev)	.	.	.	.	.	+1 (86:12)	.	-7	.	.	.	1	106
219	Khazar U (Ismaylov, Huseynli, Jafaradze)	.	.	.	.	.	+1 (101:00)	.	.	.	-7	.	1	121
220	Kyrgyz Russian Slavic U 2 (Kushmanov, Kushmanov, Alekseev)	.	.	.	.	.	+2 (99:04)	.	.	.	-1	.	1	139
221	Azerbaijan TU 2 (Emciyev, Guliyev) 	.	.	.	.	.	+4 (62:19)	.	-2	.	.	.	1	142
222	Tbilisi SANGU 4 (Svanadze, Kalandadze, Gelenava)	.	-1	.	.	.	+3 (85:13)	.	.	.	.	.	1	145
223	Atyrau SU (Ergozhieva, Ikhsanov, Orynbayev)	.	.	.	.	.	+4 (131:17)	.	.	.	.	.	1	211
224	Baku Qafqaz U 5 (Sadili, Huseynov, Alili)	.	.	.	.	.	-11	.	.	.	-1	.	0	0
224	Azerbaijan TU 3 (Ragimova, Alekperov)	.	.	.	.	.	.	.	.	.	.	.	0	0
224	Azerbaijan U of Arch and Cons (Mammadov, Memmedzadeh, Neymatov)	.	.	.	.	.	-1	.	.	.	.	.	0	0
224	Batumi SU (Gorgodze, Fasieshvili, Katsitadze) 	.	.	.	.	.	.	.	.	.	.	.	0	0
224	Kazakh NTU (Alpysbayev, Gnatchenko, Gnatchenko)	.	.	.	.	.	.	.	.	.	.	.	0	0
	Total runs	72	393	1	10	10	283	18	271	182	1162	210
	Accepted	22	118	0	0	0	223	8	54	22	119	44
	Rejected	50	275	1	10	10	60	10	217	160	1043	166
	First Accept	100:24	22:29				5:25	159:52	29:15	49:25	14:32	86:43
	Last Accept	291:27	298:41				131:17	286:11	288:50	293:16	298:52	291:44
