Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
149	Siberian S Ind U (Milovanov, Naymark, Shvedov)	.	-3	.	.	.	.	+ (50:58)	-8	+ (109:43)	.	.	2	159
150	Novosibirsk SPedU (Kornilov, Kretinin, Roganov)	.	-5	.	.	.	.	+ (49:02)	-3	+ (125:24)	.	.	2	174
151	Novosibirsk STU 1 (Kuznetsov, Shatrov, Shtanko)	.	-8	.	.	.	.	+1 (64:24)	-2	+ (113:51)	-3	.	2	197
152	Almaty IPET 3 (Tokmoldaev, Dauletbekov, Sarsenov)	.	-29	.	.	.	.	+ (55:31)	-3	+ (150:08)	.	.	2	205
153	Tashkent UIT 2 (Platonov, Tsoy, Valiev)	.	.	.	.	.	-1	+ (75:58)	.	+1 (190:08)	.	.	2	285
154	Rubtsovsk II (Samoilov, Shveichyk, Skorobogatov)	.	.	.	.	.	-3	+1 (117:10)	-5	+ (165:44)	.	.	2	302
155	Omsk SU 2 (Dvorzhetskij, Kardakov, Pozdnyakov)	.	+ (68:28)	-9	.	.	-6	.	.	+ (259:11)	.	.	2	327
156	Tbilisi IBSU 1 (Beridze, Kimadze, Mghebrishvili)	.	-2	.	.	.	.	+ (157:01)	.	+ (187:39)	.	.	2	344
157	Samarkand SU (Holmatov, Mihaylin, Redkin)	.	-5	.	.	.	.	+ (73:50)	.	+2 (238:00)	.	.	2	351
158	Karaganda STU 2 (Kakimbekov, Orazbekova, Reitenbakh)	.	.	.	.	.	-1	-6	+ (78:36)	+ (279:38)	.	.	2	357
159	Urgench B of TUIT 1 (Allamov, Atadjanov, Razzakov)	.	.	.	.	.	.	+2 (212:04)	-1	+ (150:18)	.	.	2	402
160	Moscow I of El Tech (Fedorov, Mishin, Suleymanov)	.	+3 (178:42)	-7	.	.	-8	-13	+4 (157:33)	.	.	.	2	475
161	Urgench B of TUIT 3 (Rahmonova, Hujaev, Quryazov)	.	-8	.	.	.	.	+2 (256:45)	.	+ (214:27)	.	.	2	510
162	Kazakh NTU 3 (Assylbekov, Zhaulbaev, Ismailov)	.	.	.	.	.	.	+ (248:16)	-3	+2 (259:38)	.	.	2	547
163	Yerevan SU 3 (Badalyan, Paremuzyan, Verdiyan)	.	-4	.	.	.	.	+2 (263:47)	.	+ (282:20)	.	.	2	585
164	Kazakh NTU 4 (Berdibekov, Kasimkanov, Sembay)	.	-6	.	.	.	.	+4 (277:12)	.	+ (251:01)	.	.	2	608
165	Kazakh NU 2 (Proskurjakov, Kharasaev, Chulkov)	.	-4	.	.	.	.	+4 (187:27)	.	+11 (292:53)	.	.	2	779
166	East Kazakhstan STU (Buhtaty, Lazutin, Znoev)	-2	-1	.	.	.	.	+ (104:36)	-6	-1	.	-1	1	104
167	Caucasus U (Amashukeli, Chkareuli, Shvangiradze)	.	-1	.	.	.	.	+ (118:59)	.	.	.	.	1	118
168	Baku Qafqaz U 1 (Abbasov, Babayev, Javadov)	.	+1 (111:59)	.	.	.	-3	.	.	.	.	.	1	131
169	West Kazakhstan SU (Azhgaliev, Murzaliyev, Zotov)	.	-7	.	.	.	.	-3	.	+ (150:39)	.	.	1	150
170	Tashkent I of TLI 2 (Khalikova, Iskhakov, Musakhanov)	.	-2	.	.	.	.	+2 (190:29)	.	.	.	.	1	230
171	Sokhumi U 2 (Gelashvili, Kamaryan, Nemsadze)	.	.	.	.	.	.	+1 (229:59)	.	.	.	.	1	249
172	World Econ and Dipl U (Hasanov, Ishmatov, Mirzaqulov)	.	.	.	.	.	.	-5	.	+1 (252:31)	.	.	1	272
173	Siberian FU 4 (Batalin, Kabanov, Shakov)	.	.	.	.	.	.	-1	.	+ (278:06)	.	.	1	278
174	Almaty IPET 1 (Gienko, Poddubniy, Beletskaya)	.	.	.	.	.	-6	+ (283:12)	.	.	.	.	1	283
175	Kostanay Social TU (Kolbin, Krenichnyy, Vassilyev)	.	.	.	.	.	.	+3 (229:58)	.	.	.	.	1	289
176	Kazakh NTU 2 (Babich, Zubashev, Seydahmetov)	.	.	.	.	.	.	.	+1 (288:06)	-2	.	.	1	308
177	Azerbaijan S Oil Academy (Eldar, Farid, Kerimzade)	.	-1	.	.	.	.	.	.	+2 (285:39)	.	.	1	325
178	Sokhumi U 1 (Shkhvatsabaia, Tatrishvili, Zarkua)	.	-7	.	.	.	.	+5 (249:28)	.	.	.	.	1	349
179	Int U of Kyrgyzstan (Kozlov, Novikov, Shihovtsev)	.	.	.	.	.	.	.	.	.	.	.	0	0
179	Krasnoyarsk SPedU (Kulikov, Lebedev, Zekov)	.	-3	.	.	.	.	.	.	.	.	.	0	0
179	American U Central Asia (Dzhakishev, Stus, Takyrbashev)	.	-2	.	.	.	.	-6	.	.	.	.	0	0
179	Kyrgyz-Turkish Manas U (Chymbaev, Torobekov, Urayimov)	.	-3	.	.	.	.	-5	.	-5	.	.	0	0
179	Baku Qafqaz U 2 (Dursun, Qurbanov, Qurbanov)	.	.	.	.	.	.	-4	.	.	.	.	0	0
179	Georgia TU (Asanidze, Chkheidze, Chichinadze)	.	.	.	.	.	.	.	.	.	.	.	0	0
179	Tbilisi SU Geo-French 1 (Ghutishvili, Jojua, Kasradze)	.	.	.	.	.	-4	.	.	.	.	.	0	0
179	Tbilisi IBSU 3 (Javakhishvili, Maisuradze, Zarqua)	.	.	.	.	.	.	.	.	.	.	.	0	0
179	Tbilisi Chavchavadze SU (Arakhamia, Kavrelishvili, Zarkua)	.	.	.	.	.	.	.	.	.	.	.	0	0
179	Batumi SU 2 (Kikava, Didmanidze, Takidze)	.	-1	.	.	.	.	.	.	.	.	.	0	0
179	Baku Qafqaz U 3 (Abdullayev, Yusubov, Aliyev)	.	-3	.	.	.	-6	.	.	.	.	.	0	0
179	Tbilisi IBSU 2 (Chelishvili, Gandilyan, Kupatadze)	.	-5	.	.	.	.	.	.	-4	.	.	0	0
179	Batumi SU 1 (Imnaishvili, Putkaradze, Sirabidze)	.	-1	.	.	.	.	.	.	.	.	.	0	0
179	Tbilisi SU Geo-French 2 (Apkhaidze, Ivanauri, Sharabidze)	.	.	.	.	.	.	-2	.	.	.	.	0	0
179	Karshi B of TUIT (Tursunova, Nazarov, Holmurodov)	.	-4	.	.	.	.	-3	.	.	.	.	0	0
179	Samartand B of TUIT 1 (Saidov, Saidvaliev, Erkaev)	.	-2	.	.	.	.	.	.	.	.	.	0	0
179	Tashkent UIT 4 (Abbasov, Atadjanov, Kasimov)	.	.	.	.	.	.	-4	.	.	.	.	0	0
179	Karshi SU (Otaniyazova, Kilicheva, Shodiev)	.	-3	-1	.	.	-1	-3	-1	.	.	.	0	0
179	Karakalpak SU (Djaykov, Rustemov, Amaniyazov)	.	-3	.	.	.	.	.	.	-9	.	.	0	0
179	Almaty IPET 2 (Trunov, Li, Dauren)	.	-2	.	.	.	.	.	.	.	.	.	0	0
179	Kazakh NPU 2 (Guseynov, Kuldin, Khegay)	.	.	.	.	.	.	.	.	-1	.	.	0	0
179	Kokshetau SU (Lukyanov, Musabekov, Vasilenko)	.	-1	.	.	.	-2	.	.	.	.	.	0	0
179	Kyzylorda SU (Zaika, Petrov, Baytabinov)	.	.	.	.	.	.	.	-10	.	.	.	0	0
	Total runs	182	431	36	64	2	254	320	334	267	381	134
	Accepted	48	145	4	3	1	64	169	133	167	85	12
	Rejected	134	286	32	61	1	190	151	201	100	296	122
	First Accept	66:56	13:18	177:38	259:13	295:40	57:05	11:37	14:48	17:24	27:51	96:21
	Last Accept	297:42	291:17	271:51	283:56	295:40	298:34	283:12	299:56	295:49	299:39	292:08
